,id,geo_area,percent_uninsured,number_uninsured,geo_county,geo_state
0,0500000US01003,"Baldwin County, Alabama",8.1,17928,Baldwin County, Alabama
1,0500000US01015,"Calhoun County, Alabama",11.1,12279,Calhoun County, Alabama
2,0500000US01043,"Cullman County, Alabama",10.6,8744,Cullman County, Alabama
3,0500000US01049,"DeKalb County, Alabama",14.1,9923,DeKalb County, Alabama
4,0500000US01051,"Elmore County, Alabama",6.0,4499,Elmore County, Alabama
5,0500000US01055,"Etowah County, Alabama",13.2,13385,Etowah County, Alabama
6,0500000US01069,"Houston County, Alabama",12.9,13444,Houston County, Alabama
7,0500000US01073,"Jefferson County, Alabama",9.4,61650,Jefferson County, Alabama
8,0500000US01077,"Lauderdale County, Alabama",11.7,10745,Lauderdale County, Alabama
9,0500000US01081,"Lee County, Alabama",7.1,11623,Lee County, Alabama
10,0500000US01083,"Limestone County, Alabama",11.7,11163,Limestone County, Alabama
11,0500000US01089,"Madison County, Alabama",7.6,27905,Madison County, Alabama
12,0500000US01095,"Marshall County, Alabama",11.7,11196,Marshall County, Alabama
13,0500000US01097,"Mobile County, Alabama",11.3,46335,Mobile County, Alabama
14,0500000US01101,"Montgomery County, Alabama",9.5,20894,Montgomery County, Alabama
15,0500000US01103,"Morgan County, Alabama",10.2,12020,Morgan County, Alabama
16,0500000US01115,"St. Clair County, Alabama",6.0,5261,St. Clair County, Alabama
17,0500000US01117,"Shelby County, Alabama",6.7,14391,Shelby County, Alabama
18,0500000US01121,"Talladega County, Alabama",10.1,7782,Talladega County, Alabama
19,0500000US01125,"Tuscaloosa County, Alabama",7.1,14856,Tuscaloosa County, Alabama
20,0500000US01127,"Walker County, Alabama",18.3,11491,Walker County, Alabama
21,0500000US02020,"Anchorage Municipality, Alaska",10.6,29425,Anchorage Municipality, Alaska
22,0500000US02090,"Fairbanks North Star Borough, Alaska",8.2,7284,Fairbanks North Star Borough, Alaska
23,0500000US02170,"Matanuska-Susitna Borough, Alaska",13.7,14481,Matanuska-Susitna Borough, Alaska
24,0500000US04001,"Apache County, Arizona",31.4,22400,Apache County, Arizona
25,0500000US04003,"Cochise County, Arizona",7.3,8640,Cochise County, Arizona
26,0500000US04005,"Coconino County, Arizona",12.0,17074,Coconino County, Arizona
27,0500000US04013,"Maricopa County, Arizona",11.5,511760,Maricopa County, Arizona
28,0500000US04015,"Mohave County, Arizona",7.9,16436,Mohave County, Arizona
29,0500000US04017,"Navajo County, Arizona",17.5,18939,Navajo County, Arizona
30,0500000US04019,"Pima County, Arizona",10.3,105102,Pima County, Arizona
31,0500000US04021,"Pinal County, Arizona",9.4,40998,Pinal County, Arizona
32,0500000US04025,"Yavapai County, Arizona",10.7,25041,Yavapai County, Arizona
33,0500000US04027,"Yuma County, Arizona",14.0,28890,Yuma County, Arizona
34,0500000US05007,"Benton County, Arkansas",9.9,27610,Benton County, Arkansas
35,0500000US05031,"Craighead County, Arkansas",8.7,9532,Craighead County, Arkansas
36,0500000US05045,"Faulkner County, Arkansas",9.4,11721,Faulkner County, Arkansas
37,0500000US05051,"Garland County, Arkansas",11.0,10837,Garland County, Arkansas
38,0500000US05069,"Jefferson County, Arkansas",6.7,4153,Jefferson County, Arkansas
39,0500000US05085,"Lonoke County, Arkansas",8.4,6058,Lonoke County, Arkansas
40,0500000US05119,"Pulaski County, Arkansas",8.9,34125,Pulaski County, Arkansas
41,0500000US05125,"Saline County, Arkansas",8.3,10008,Saline County, Arkansas
42,0500000US05131,"Sebastian County, Arkansas",11.4,14395,Sebastian County, Arkansas
43,0500000US05143,"Washington County, Arkansas",12.8,30373,Washington County, Arkansas
44,0500000US05145,"White County, Arkansas",8.4,6564,White County, Arkansas
45,0500000US06001,"Alameda County, California",3.8,63235,Alameda County, California
46,0500000US06007,"Butte County, California",6.1,13192,Butte County, California
47,0500000US06013,"Contra Costa County, California",5.5,63065,Contra Costa County, California
48,0500000US06017,"El Dorado County, California",5.0,9574,El Dorado County, California
49,0500000US06019,"Fresno County, California",8.4,82530,Fresno County, California
50,0500000US06023,"Humboldt County, California",7.5,10078,Humboldt County, California
51,0500000US06025,"Imperial County, California",8.3,14141,Imperial County, California
52,0500000US06029,"Kern County, California",8.0,69555,Kern County, California
53,0500000US06031,"Kings County, California",8.2,11049,Kings County, California
54,0500000US06033,"Lake County, California",5.6,3591,Lake County, California
55,0500000US06037,"Los Angeles County, California",9.9,981687,Los Angeles County, California
56,0500000US06039,"Madera County, California",7.9,11655,Madera County, California
57,0500000US06041,"Marin County, California",4.0,10239,Marin County, California
58,0500000US06045,"Mendocino County, California",7.1,6100,Mendocino County, California
59,0500000US06047,"Merced County, California",11.7,32243,Merced County, California
60,0500000US06053,"Monterey County, California",9.7,40447,Monterey County, California
61,0500000US06055,"Napa County, California",6.6,8963,Napa County, California
62,0500000US06057,"Nevada County, California",5.3,5280,Nevada County, California
63,0500000US06059,"Orange County, California",7.7,241990,Orange County, California
64,0500000US06061,"Placer County, California",4.2,16801,Placer County, California
65,0500000US06065,"Riverside County, California",8.7,212909,Riverside County, California
66,0500000US06067,"Sacramento County, California",5.8,88687,Sacramento County, California
67,0500000US06071,"San Bernardino County, California",9.1,193962,San Bernardino County, California
68,0500000US06073,"San Diego County, California",8.0,259380,San Diego County, California
69,0500000US06075,"San Francisco County, California",3.8,33005,San Francisco County, California
70,0500000US06077,"San Joaquin County, California",6.8,50718,San Joaquin County, California
71,0500000US06079,"San Luis Obispo County, California",5.8,16106,San Luis Obispo County, California
72,0500000US06081,"San Mateo County, California",4.6,34804,San Mateo County, California
73,0500000US06083,"Santa Barbara County, California",10.8,47293,Santa Barbara County, California
74,0500000US06085,"Santa Clara County, California",4.6,88766,Santa Clara County, California
75,0500000US06087,"Santa Cruz County, California",5.3,14392,Santa Cruz County, California
76,0500000US06089,"Shasta County, California",7.1,12642,Shasta County, California
77,0500000US06095,"Solano County, California",4.7,20574,Solano County, California
78,0500000US06097,"Sonoma County, California",5.8,28615,Sonoma County, California
79,0500000US06099,"Stanislaus County, California",6.6,36160,Stanislaus County, California
80,0500000US06101,"Sutter County, California",5.1,4895,Sutter County, California
81,0500000US06103,"Tehama County, California",5.0,3217,Tehama County, California
82,0500000US06107,"Tulare County, California",7.1,32789,Tulare County, California
83,0500000US06111,"Ventura County, California",9.4,78828,Ventura County, California
84,0500000US06113,"Yolo County, California",4.1,8966,Yolo County, California
85,0500000US06115,"Yuba County, California",7.8,5968,Yuba County, California
86,0500000US08001,"Adams County, Colorado",10.3,52794,Adams County, Colorado
87,0500000US08005,"Arapahoe County, Colorado",8.8,57260,Arapahoe County, Colorado
88,0500000US08013,"Boulder County, Colorado",5.4,17413,Boulder County, Colorado
89,0500000US08014,"Broomfield County, Colorado",5.0,3474,Broomfield County, Colorado
90,0500000US08031,"Denver County, Colorado",8.5,61600,Denver County, Colorado
91,0500000US08035,"Douglas County, Colorado",3.1,10998,Douglas County, Colorado
92,0500000US08041,"El Paso County, Colorado",8.2,56828,El Paso County, Colorado
93,0500000US08059,"Jefferson County, Colorado",6.3,36505,Jefferson County, Colorado
94,0500000US08069,"Larimer County, Colorado",5.8,20611,Larimer County, Colorado
95,0500000US08077,"Mesa County, Colorado",9.9,15194,Mesa County, Colorado
96,0500000US08101,"Pueblo County, Colorado",7.3,11993,Pueblo County, Colorado
97,0500000US08123,"Weld County, Colorado",10.0,32279,Weld County, Colorado
98,0500000US09001,"Fairfield County, Connecticut",9.1,85243,Fairfield County, Connecticut
99,0500000US09003,"Hartford County, Connecticut",4.3,37722,Hartford County, Connecticut
100,0500000US09005,"Litchfield County, Connecticut",4.7,8469,Litchfield County, Connecticut
101,0500000US09007,"Middlesex County, Connecticut",3.3,5310,Middlesex County, Connecticut
102,0500000US09009,"New Haven County, Connecticut",5.9,49554,New Haven County, Connecticut
103,0500000US09011,"New London County, Connecticut",4.6,11600,New London County, Connecticut
104,0500000US09013,"Tolland County, Connecticut",2.5,3760,Tolland County, Connecticut
105,0500000US09015,"Windham County, Connecticut",4.8,5526,Windham County, Connecticut
106,0500000US10001,"Kent County, Delaware",9.0,15744,Kent County, Delaware
107,0500000US10003,"New Castle County, Delaware",5.2,28647,New Castle County, Delaware
108,0500000US10005,"Sussex County, Delaware",8.0,18379,Sussex County, Delaware
109,0500000US11001,"District of Columbia, District of Columbia",3.5,24506,District of Columbia, District of Columbia
110,0500000US12001,"Alachua County, Florida",8.8,23467,Alachua County, Florida
111,0500000US12005,"Bay County, Florida",12.6,21446,Bay County, Florida
112,0500000US12009,"Brevard County, Florida",10.6,63185,Brevard County, Florida
113,0500000US12011,"Broward County, Florida",15.3,297833,Broward County, Florida
114,0500000US12015,"Charlotte County, Florida",10.9,20280,Charlotte County, Florida
115,0500000US12017,"Citrus County, Florida",11.9,17476,Citrus County, Florida
116,0500000US12019,"Clay County, Florida",9.6,20879,Clay County, Florida
117,0500000US12021,"Collier County, Florida",13.1,50365,Collier County, Florida
118,0500000US12023,"Columbia County, Florida",15.7,10514,Columbia County, Florida
119,0500000US12031,"Duval County, Florida",12.7,118408,Duval County, Florida
120,0500000US12033,"Escambia County, Florida",12.7,38350,Escambia County, Florida
121,0500000US12035,"Flagler County, Florida",13.2,15121,Flagler County, Florida
122,0500000US12053,"Hernando County, Florida",11.8,22599,Hernando County, Florida
123,0500000US12055,"Highlands County, Florida",11.6,12176,Highlands County, Florida
124,0500000US12057,"Hillsborough County, Florida",13.1,190933,Hillsborough County, Florida
125,0500000US12061,"Indian River County, Florida",13.2,20930,Indian River County, Florida
126,0500000US12069,"Lake County, Florida",11.1,40428,Lake County, Florida
127,0500000US12071,"Lee County, Florida",12.2,93332,Lee County, Florida
128,0500000US12073,"Leon County, Florida",9.3,26916,Leon County, Florida
129,0500000US12081,"Manatee County, Florida",12.3,49298,Manatee County, Florida
130,0500000US12083,"Marion County, Florida",12.5,44765,Marion County, Florida
131,0500000US12085,"Martin County, Florida",8.6,13569,Martin County, Florida
132,0500000US12086,"Miami-Dade County, Florida",16.3,438779,Miami-Dade County, Florida
133,0500000US12087,"Monroe County, Florida",20.4,14641,Monroe County, Florida
134,0500000US12089,"Nassau County, Florida",8.5,7411,Nassau County, Florida
135,0500000US12091,"Okaloosa County, Florida",13.5,26718,Okaloosa County, Florida
136,0500000US12095,"Orange County, Florida",13.4,185446,Orange County, Florida
137,0500000US12097,"Osceola County, Florida",13.3,49904,Osceola County, Florida
138,0500000US12099,"Palm Beach County, Florida",13.9,206580,Palm Beach County, Florida
139,0500000US12101,"Pasco County, Florida",12.9,70625,Pasco County, Florida
140,0500000US12103,"Pinellas County, Florida",11.4,110180,Pinellas County, Florida
141,0500000US12105,"Polk County, Florida",13.9,99373,Polk County, Florida
142,0500000US12107,"Putnam County, Florida",16.1,11831,Putnam County, Florida
143,0500000US12109,"St. Johns County, Florida",8.5,22308,St. Johns County, Florida
144,0500000US12111,"St. Lucie County, Florida",14.3,46497,St. Lucie County, Florida
145,0500000US12113,"Santa Rosa County, Florida",10.4,18011,Santa Rosa County, Florida
146,0500000US12115,"Sarasota County, Florida",10.7,46148,Sarasota County, Florida
147,0500000US12117,"Seminole County, Florida",9.1,42689,Seminole County, Florida
148,0500000US12119,"Sumter County, Florida",7.1,8705,Sumter County, Florida
149,0500000US12127,"Volusia County, Florida",13.2,72103,Volusia County, Florida
150,0500000US12131,"Walton County, Florida",12.5,9072,Walton County, Florida
151,0500000US13013,"Barrow County, Georgia",13.8,11469,Barrow County, Georgia
152,0500000US13015,"Bartow County, Georgia",15.8,16820,Bartow County, Georgia
153,0500000US13021,"Bibb County, Georgia",12.9,19423,Bibb County, Georgia
154,0500000US13031,"Bulloch County, Georgia",12.9,10225,Bulloch County, Georgia
155,0500000US13045,"Carroll County, Georgia",15.4,18340,Carroll County, Georgia
156,0500000US13047,"Catoosa County, Georgia",8.1,5406,Catoosa County, Georgia
157,0500000US13051,"Chatham County, Georgia",15.8,44173,Chatham County, Georgia
158,0500000US13057,"Cherokee County, Georgia",12.3,31674,Cherokee County, Georgia
159,0500000US13059,"Clarke County, Georgia",12.7,16243,Clarke County, Georgia
160,0500000US13063,"Clayton County, Georgia",18.9,54503,Clayton County, Georgia
161,0500000US13067,"Cobb County, Georgia",12.8,97012,Cobb County, Georgia
162,0500000US13073,"Columbia County, Georgia",9.0,13877,Columbia County, Georgia
163,0500000US13077,"Coweta County, Georgia",8.5,12613,Coweta County, Georgia
164,0500000US13089,"DeKalb County, Georgia",14.3,107654,DeKalb County, Georgia
165,0500000US13095,"Dougherty County, Georgia",18.5,15847,Dougherty County, Georgia
166,0500000US13097,"Douglas County, Georgia",11.4,16561,Douglas County, Georgia
167,0500000US13113,"Fayette County, Georgia",8.3,9386,Fayette County, Georgia
168,0500000US13115,"Floyd County, Georgia",14.8,14273,Floyd County, Georgia
169,0500000US13117,"Forsyth County, Georgia",8.1,19671,Forsyth County, Georgia
170,0500000US13121,"Fulton County, Georgia",8.8,92787,Fulton County, Georgia
171,0500000US13127,"Glynn County, Georgia",15.6,13138,Glynn County, Georgia
172,0500000US13135,"Gwinnett County, Georgia",16.6,154298,Gwinnett County, Georgia
